lemma_slp1	example_slp1	example_sa	example_ru	example_work	example_passage	example_kind
Badraka	Badraka	bhadraka	буйволов	02_ramayana-ayodhyakanda	32.20	translation
BadrakarReSvara	BadrakarReSvara	bhadrakarṇeśvara	Бхадракарнешвару	03_mahabharata-aranyakaparva	3.82.30-35	translation
Badrakft	Badrakft	bhadrakṛt	благодетель	08_rigveda	14.11	translation
Badramanas	BadramanA	bhadramanā	Бхадрамана	01_mahabharata-adiparva	1.60.58-64	translation
Badramfga	Badramfga	bhadramṛga	с короткими и длинными бивнями	01_ramayana-balakanda	6.25	translation
BadrapApa	BadrapApAs	bhadrapāpās	Хорошие и плохие	12_atharvaveda	1.47	translation
BadrapIWa	BadrapIWa	bhadrapīṭha	масло	02_ramayana-ayodhyakanda	14.35	translation
BadrasAlavana	BadrasAlavana	bhadrasālavana	лес Бхадрасала	06_mahabharata-bhishmaparva	6.8.12-17	translation
Badrasena	BadrasenaH	bhadrasenaḥ	Бхадрасена	07_mahabharata-dronaparva	7.133.32-37	translation
BadratA	Badrata	bhadrata	благополучно	18_atharvaveda	4.50	translation
BadravAdin	BadravAdI	bhadravādī	глаголя счастье	02_rigveda	42.2	translation
BadravatI	BadravatI	bhadravatī	сулящим благо	04_mahabharata-virataparva	4.24.14-21	translation
Badravawa	Badravawa	bhadravaṭa	Бхадравата	03_mahabharata-aranyakaparva	3.80.67-70	translation
BadravrAta	BadravrAta	bhadravrāta	Образующую блистательный отряд	10_rigveda	47.5	translation
Badrika	Badrika	bhadrika	добродетельный	manavadharmashastra	9.226	translation
BagIraTa	BagIraTam	bhagīratham	Бхагиратха	01_mahabharata-adiparva	1.1.163-178	translation
BagIraTasutA	BagIraTasutA	bhagīrathasutā	дочь Бхагиратхи	05_mahabharata-udyogaparva	5.179.1-6	translation
Baga	Baga	bhaga	счастливую долю	01_atharvaveda	14.4	translation
BagaBakta	BagaBakta	bhagabhakta	наделенного Счастливой долей	01_rigveda	24.5	translation
BagaGna	BagaGna	bhagaghna	убивающий Бхагу	07_mahabharata-dronaparva	7.57.44-51	translation
Bagadatta	Bagadatta	bhagadatta	Бхагадатта	01_mahabharata-adiparva	1.2.160-168	translation
BaganandA	BaganandA	bhaganandā	Бхагананда	09_mahabharata-shalyaparva	9.45.9-15	translation
Baganetrahan	Baganetrahan	bhaganetrahan	Ослепитель Бхаги	03_mahabharata-aranyakaparva	3.41.7-12	translation
Baganetrahara	Baganetrahara	bhaganetrahara	похитителя очей Бхаги	01_mahabharata-adiparva	1.103.9-17	translation
BaganetranipAtana	BaganetranipAtana	bhaganetranipātana	Ослепитель Бхаги	03_mahabharata-aranyakaparva	3.40.57-60	translation
Bagatti	Bagatti	bhagatti	Дар счастливой доли	09_rigveda	65.17	translation
BagavaddfSa	BagavaddfSeBya	bhagavaddṛśebhya	подобных почтенному	ch-up	4.9.3	translation
BagavadgItA	BagavadgItA	bhagavadgītā	Бхагавад-Гита	01_mahabharata-adiparva	1.2.54-60	translation
BagavadgItArTasaMgraha	BagavadgItArTasaNgraha	bhagavadgītārthasaṅgraha	Бхагаватгитартхасанграху	gitarthasamgraha-abhinavagupta	19.2	translation
Bagavanmaya	Bagavanmaya	bhagavanmaya	Господу	gitarthasamgraha-abhinavagupta	8.7	translation
Bagavant	Bagavat	bhagavat	Величественный	01_mahabharata-adiparva	1.1.59-60	translation
Bagavat	Bagavat	bhagavat	Величественный	01_mahabharata-adiparva	1.1.59-60	translation
BagavatI	Bagavati	bhagavati	благословенная	02_ramayana-ayodhyakanda	14.53	translation
Bagavatsmfti	Bagavatsmfti	bhagavatsmṛti	памятовании Господа	gitarthasamgraha-abhinavagupta	8.28	translation
BagavatsvarUpa	BagavatsvarUpa	bhagavatsvarūpa	изначальной форме Господа	gitarthasamgraha-abhinavagupta	9.23	translation
Bagavattama	BagavattamaH	bhagavattamaḥ	счастливейшим	02_atharvaveda	9.2	translation
Bagavattara	Bagavattara	bhagavattara	еще счастливее	10_rigveda	60.12	translation
Bagavedana	Bagavedana	bhagavedana	средство	03_mahabharata-aranyakaparva	3.222.1-10	translation
BageSa	BageSam	bhageśam	владыку процветания	shv-up	6.6	translation
Bagin	BaginI	bhaginī	сестра	01_mahabharata-adiparva	1.13.29-33	translation
BagnASa	BagnASa	bhagnāśa	надежду утратив	shatakatrayam	1.82	translation
Bagna	Bagna	bhagna	разбиты	01_mahabharata-adiparva	1.1.109-124	translation
BagnaSfNga	BagnaSfNgam	bhagnaśṛṅgam	с обломанными рогами	08_mahabharata-karnaparva	8.18.64-70	translation
BagnadaMzwra	BagnadaMzwra	bhagnadaṃṣṭra	с вырванными зубами	01_ramayana-balakanda	55.9	translation
Bagnadarpa	Bagnadarpa	bhagnadarpa	с оскорбленной гордостью	01_mahabharata-adiparva	1.1.148-156	translation
BagnamanoraTa	BagnamanoraTa	bhagnamanoratha	чьи желания не исполнились	buddhacharita	4.101	translation
BagnapfzWa	BagnapfzWa	bhagnapṛṣṭha	перебитыми хребтами	06_mahabharata-bhishmaparva	6.58.42-61	translation
BagnapratijYa	BagnapratijYa	bhagnapratijña	нарушить обет	buddhacharita	9.44	translation
Baj	Beje	bheje	занял	01_mahabharata-adiparva	1.1.1-7	translation
Baja	Baja	bhaja	наслаждайся	05_ramayana-sundarakanda	24.33	translation
BajamAna	BajamAnA	bhajamānā	любящую	03_mahabharata-aranyakaparva	3.53.1-4	translation
Bakta	BaktAm	bhaktām	любящую	02_ramayana-ayodhyakanda	29.20	translation
BaktadAsa	BaktadAsa	bhaktadāsa	раб за содержание	manavadharmashastra	8.415	translation
BaktadAyaka	BaktadAyaka	bhaktadāyaka	дают пищу	manavadharmashastra	9.271	translation
Baktada	BaktadA	bhaktadā	пищу	manavadharmashastra	9.278	translation
Baktavatsala	Baktavatsalam	bhaktavatsalam	доброго к своим подданным	01_mahabharata-adiparva	1.161.14-20	translation
Bakti	Bakti	bhakti	поспешил	02_ramayana-ayodhyakanda	1.45	translation
Baktimat	Baktimanti	bhaktimanti	почитает	02_ramayana-ayodhyakanda	45.29	translation
BaktivAda	BaktivAda	bhaktivāda	дружескими уверениями	05_mahabharata-udyogaparva	5.125.1-9	translation
Baktiyoga	Baktiyoga	bhaktiyoga	сопряжением преданности	06_mahabharata-bhishmaparva	6.36.26	translation
Bakz	Bakza	bhakṣa	отведывают	01_atharvaveda	33.3	translation
Bakza	Bakza	bhakṣa	отведывают	01_atharvaveda	33.3	translation
BakzaRa	BakzaRa	bhakṣaṇa	питаться	02_ramayana-ayodhyakanda	21.25	translation
Bakzayitf	BakzayitA	bhakṣayitā	да пожирает	manavadharmashastra	5.55	translation
Bakzi	BakzyantAm	bhakṣyantām	ест	02_ramayana-ayodhyakanda	91.53	translation
BakzyABakzya	BakzyABakzya	bhakṣyābhakṣya	пища, дозволенная и недозволенная	manavadharmashastra	1.113	translation
Bakzya	Bakzya	bhakṣya	поесть	01_mahabharata-adiparva	1.24.1	translation
BakzyamAlyApaRa	BakzyamAlyApaRAnAm	bhakṣyamālyāpaṇānām	торговых лавок со снедью и гирляндами	02_mahabharata-sabhaparva	2.19.20-32	translation
Bala	Bala	bhala	наконец	07_atharvaveda	58.7	translation
Ball	BallA	bhallā	стрелами бхалла	06_mahabharata-bhishmaparva	6.43.14-16	translation
BallAkza	BallAkza	bhallākṣa	Добрый глаз	ch-up	4.1.2	translation
BallAtaka	BallAtaka	bhallātaka	бхаллатаку	02_ramayana-ayodhyakanda	56.7	translation
Balla	Balla	bhalla	стрелы	03_mahabharata-aranyakaparva	3.116.19-29	translation
Ban	Banati	bhanati	исполняет	06_rigveda	11.3	translation
Band	BandamAna	bhandamāna	Радостно прославляемые	01_rigveda	142.7	translation
Bandadizwi	Bandadizwaye	bhandadiṣṭaye	вызывающей хвалу	05_rigveda	87.1	translation
BandanA	BandanA	bhandanā	славным свершениям	08_rigveda	24.15	translation
BandizWa	BandizWa	bhandiṣṭha	самый знаменитый	01_rigveda	97.3	translation
BarIman	BarIman	bharīman	питанием	01_rigveda	22.13	translation
BarUjI	BarUji	bharūji	Бхаруджи	02_atharvaveda	24.8	translation
Bara	Bara	bhara	поддержишь	02_ramayana-ayodhyakanda	31.15	translation
BaraRI	BaraRI	bharaṇī	Бхарани	19_atharvaveda	7.5	translation
BaraRa	BaraRa	bharaṇa	заботиться	02_ramayana-ayodhyakanda	31.21	translation
BaradvAja	BaradvAja	bharadvāja	обители	02_ramayana-ayodhyakanda	54.7	translation
BarahUti	BarahUtaye	bharahūtaye	для зова на бой	01_rigveda	129.2	translation
Baras	Bara	bhara	поддержишь	02_ramayana-ayodhyakanda	31.15	translation
BaratAgraja	BaratAgraja	bharatāgraja	старший брат Бхараты	02_ramayana-ayodhyakanda	1.20	translation
BaratI	BaratI	bharatī	Бхарати	03_mahabharata-aranyakaparva	3.209.1-10	translation
Barata	Barata	bharata	Бхараты	01_mahabharata-adiparva	1.1.39-48	translation
BarataSArdUla	BarataSArdUla	bharataśārdūla	тигр-бхарата	03_mahabharata-aranyakaparva	3.106.5-8	translation
BarataSrezWa	BarataSrezWa	bharataśreṣṭha	краса бхаратов	03_mahabharata-aranyakaparva	3.15.3-15	translation
BaratafzaBa	BaratarzaBa	bharatarṣabha	о бык-бхарата	12_mahabharata-shantiparva	12.4.1-9	translation
Baratasattama	Baratasattama	bharatasattama	лучший из бхаратов	03_mahabharata-aranyakaparva	3.28.30-33	translation
Baratatva	Baratatva	bharatatva	Бхарата	01_mahabharata-adiparva	1.90.33-47	translation
BarezujA	BarezujAm	bhareṣujām	рожденного в боях	01_rigveda	91.21	translation
Barga	BargaH	bhargaḥ	Отблеск	01_rigveda	141.1	translation
Bargas	BargaH	bhargaḥ	Отблеск	01_rigveda	141.1	translation
Bargasvat	BargasvatIm	bhargasvatīm	Блистательную	06_atharvaveda	69.2	translation
Bari	Barizu	bhariṣu	жаждущий добычи	04_rigveda	40.2	translation
Barita	BaritAH	bharitāḥ	наполнены	02_mahabharata-sabhaparva	2.54.1-2	translation
Baritra	Baritra	bharitra	пальцами	03_rigveda	36.7	translation
Bartf	BartFn	bhartṝn	супругов	01_mahabharata-adiparva	1.2.178-190	translation
BartfGna	BartfGna	bhartṛghna	нанесение вреда своему благодетелю	02_mahabharata-sabhaparva	2.57.1-12	translation
BartfSokABipIqita	BartfSokABipIqitA	bhartṛśokābhipīḍitā	терзаясь тоской о супруге	03_mahabharata-aranyakaparva	3.61.83-85	translation
BartfSoka	BartfSoka	bhartṛśoka	скорбью по мужу	05_ramayana-sundarakanda	13.29	translation
BartfSokaparItANgin	BartfSokaparItANgI	bhartṛśokaparītāṅgī	тревога за мужа лишила телесных сил	03_mahabharata-aranyakaparva	3.61.10-11	translation
BartfSokapara	BartfSokaparA	bhartṛśokaparā	поглощена тоской о супруге	03_mahabharata-aranyakaparva	3.61.95-97	translation
BartfdarSanakANkzA	BartfdarSanakANkzayA	bhartṛdarśanakāṅkṣayā	мечтая лишь о встрече с супругом	03_mahabharata-aranyakaparva	3.65.17-20	translation
BartfdarSanalAlasa	BartfdarSanalAlasA	bhartṛdarśanalālasā	желание увидеть супруга	03_mahabharata-aranyakaparva	3.61.117-120	translation
BartfdfQavratA	BartfdfQavratA	bhartṛdṛḍhavratā	стойкая в верности мужу	05_ramayana-sundarakanda	16.15	translation
BartfhIna	BartfhInA	bhartṛhīnā	нет мужа	03_mahabharata-aranyakaparva	3.61.45-49	translation
Bartfka	BartfkA	bhartṛkā	жена	shukasaptati	33.2	translation
Bartfloka	Bartflokam	bhartṛlokam	местопребывания мужа	manavadharmashastra	5.165	translation
BartfsTAna	BartfsTAna	bhartṛsthāna	Бхартристхану	03_mahabharata-aranyakaparva	3.82.68-70	translation
Bartfsneha	Bartfsneha	bhartṛsneha	любовь к господину	buddhacharita	6.6	translation
Bartftva	Bartftve	bhartṛtve	в супруги	05_mahabharata-udyogaparva	5.12.10-15	translation
BartfvratA	Bartfvrata	bhartṛvrata	обеты супруга	15_mahabharata-ashramavasikaparva	15.46.1-12	translation
Barts	BartsyamAnA	bhartsyamānā	оскорбляемая	05_ramayana-sundarakanda	24.17	translation
BarukacCa	BarukacCa	bharukaccha	берега моря	02_mahabharata-sabhaparva	2.28.48-53	translation
Barv	Bar	bhar	Принесите	01_rigveda	109.7	translation
Bas	bapsatA	bapsatā	Пожирая	01_rigveda	28.7	translation
Basad	Basad	bhasad	хватает	06_rigveda	3.4	translation
Basadya	Basadya	bhasadya	заднюю	02_atharvaveda	33.5	translation
BasamUha	BasamUhena	bhasamūhena	на совокупность накшатр	vedanga_jyotisha	2.20	translation
BasmAnta	BasmAnta	bhasmānta	конец в пепле	br-up	5.15.3	translation
BasmAvaSeza	BasmAvaSeza	bhasmāvaśeṣa	испепелило	kumarasambhava	3.72	translation
BasmAvftANga	BasmAvftANgAn	bhasmāvṛtāṅgān	покрылись золой	01_mahabharata-adiparva	1.178.6-14	translation
BasmIBU	BasmIBUta	bhasmībhūta	превратившись в пепел	01_mahabharata-adiparva	1.6.11-12	translation
BasmIkf	BasmIkarizyataH	bhasmīkariṣyataḥ	обратят в пепел	05_ramayana-sundarakanda	40.15	translation
BasmaBUta	BasmaBUtam	bhasmabhūtam	превращенную в пепел	09_mahabharata-shalyaparva	9.61.15-17	translation
BasmaSAyin	BasmaSAyin	bhasmaśāyin	лежать на земле в золе	01_ramayana-balakanda	48.30	translation
BasmacCanna	BasmacCanna	bhasmacchanna	засыпанный золою	02_ramayana-ayodhyakanda	34.3	translation
Basmakfta	Basmakfta	bhasmakṛta	пепел	01_ramayana-balakanda	43.41	translation
Basman	Basman	bhasman	золы	02_ramayana-ayodhyakanda	77.8	translation
BasmarASIkfta	BasmarASIkfta	bhasmarāśīkṛta	Превратил в кучу пепла	01_ramayana-balakanda	40.30	translation
BasmasAt	BasmasAt	bhasmasāt	пепел	01_mahabharata-adiparva	1.6.1-8	translation
BastrA	BastrA	bhastrā	утроба	01_mahabharata-adiparva	1.69.28-33	translation
BastrikA	BastrikA	bhastrikā	Бхастрика	hatha-yoga-pradipika	2.44	translation
BavAdfSa	BavAdfSa	bhavādṛśa	такие, как ты	shukasaptati	67.6	translation
BavAmbuDi	BavAmbuDi	bhavāmbudhi	океан бытия	bhagavadgita-radha	7.14	commentary
BavAnI	BavAni	bhavāni	ты следуешь	08_mahabharata-karnaparva	8.49.14-24	translation
BavAntara	BavAntara	bhavāntara	в иной жизни	buddhacharita	11.67	translation
BavItva	BavItvA	bhavītvā	предназначены для существования	02_rigveda	24.5	translation
BavIyas	BavIyas	bhavīyas	наибольшим	01_rigveda	83.1	translation
Bava	BavaH	bhavaḥ	Бхава	01_mahabharata-adiparva	1.1.163-178	translation
BavaBUta	BavaBUtam	bhavabhūtam	основу бытия	shv-up	6.5	translation
BavadA	BavadA	bhavadā	Бхавада	09_mahabharata-shalyaparva	9.45.9-15	translation
BavadBI	BavadBi	bhavadbhi	вам	03_mahabharata-aranyakaparva	3.103.1-4	translation
BavadIya	BavadIya	bhavadīya	тебе принадлежит	15_mahabharata-ashramavasikaparva	15.6.10-15	translation
Bavadvacana	Bavadvacana	bhavadvacana	твою волю	15_mahabharata-ashramavasikaparva	15.19.1-6	translation
Bavadvasu	Bavadvasu	bhavadvasu	имеющий добро	13_atharvaveda	4.54	translation
BavadviDa	BavadviDA	bhavadvidhā	подобные господину (тебе)	05_ramayana-sundarakanda	51.18	translation
Bavamanyu	Bavamanyave	bhavamanyave	духу	nr-up	1.4	translation
Bavamaya	Bavamaya	bhavamaya	состоящей только из Махадевы	07_mahabharata-dronaparva	7.172.79-85	translation
Bavana	Bavana	bhavana	домами	01_mahabharata-adiparva	1.23.1-8	translation
BavanadvAra	BavanadvAram	bhavanadvāram	Двери дворца	buddhacharita	5.66	translation
BavanmaDya	BavanmaDya	bhavanmadhya	помещая 'господин' в середине	manavadharmashastra	2.49	translation
BavantI	BavantI	bhavantī	Превращаясь	01_rigveda	164.29	translation
Bavanta	BavantaM	bhavantaṃ	тебя	07_mahabharata-dronaparva	7.102.79-86	translation
Bavarasa	Bavarasa	bhavarasa	чувства и наслаждения	shatakatrayam-serebryakov	3.66	translation
Bavas	BavaH	bhavaḥ	Бхава	01_mahabharata-adiparva	1.1.163-178	translation
BavasAgara	BavasAgara	bhavasāgara	океана сансары	buddhacharita	13.8	translation
Bavat	Bavat	bhavat	раздался	01_mahabharata-adiparva	1.1.73-78	translation
BavatI	BavatI	bhavatī	госпожа	01_mahabharata-adiparva	1.3.96-100	translation
BavatpUrva	BavatpUrva	bhavatpūrva	начиная с 'господин'	manavadharmashastra	2.49	translation
Bavatputra	BavatputrARAm	bhavatputrāṇām	твоих сыновей	ramanuja_gitabhashya	1.21	translation
Bavita	Bavita	bhavita	исполнится	01_mahabharata-adiparva	1.11.1-11	translation
BavitavyatA	BavitavyatayA	bhavitavyatayā	судьбою	02_ramayana-ayodhyakanda	59.20	translation
Bavitf	BavitA	bhavitā	предстоит	01_mahabharata-adiparva	1.3.96-100	translation
Bavitra	Bavitra	bhavitra	место (нашей) жизни (?)	07_rigveda	35.9	translation
Bavizya	Bavizya	bhaviṣya	Пророческая (Бхавишья)	01_mahabharata-adiparva	1.2.233	translation
Bavizyat	Bavizyati	bhaviṣyati	будет	01_mahabharata-adiparva	1.3.10-16	translation
BavyA	BavyA	bhavyā	Благословенная	kumarasambhava	1.22	translation
Bavya	Bavya	bhavya	Приветливый	02_ramayana-ayodhyakanda	2.32	translation
Bawa	Bawa	bhaṭa	воина	03_ramayana-aranyakanda	9.17	translation
BawwArikA	BawwArikA	bhaṭṭārikā	богини Бхаттарики	shukasaptati	20.1	translation
BayABaya	BayABaya	bhayābhaya	опасность и устранение	01_mahabharata-adiparva	1.60.40-44	translation
BayAnaka	BayAnaka	bhayānaka	ужасных	05_ramayana-sundarakanda	58.120	translation
BayAnvita	BayAnvita	bhayānvita	в смятении	01_ramayana-balakanda	19.21	translation
BayApaha	BayApahA	bhayāpahā	избавляющее от страхов	03_mahabharata-aranyakaparva	3.90.8-10	translation
BayArta	BayArta	bhayārta	испуганный	05_ramayana-sundarakanda	27.27	translation
BayAtura	BayAtura	bhayātura	мучимые страхом	07_mahabharata-dronaparva	7.167.9-17	translation
BayAvaha	BayAvaha	bhayāvaha	несущая ужас	01_mahabharata-adiparva	1.17.18-23	translation
Baya	Baya	bhaya	несчастье	01_mahabharata-adiparva	1.3.1-9	translation
BayaMkara	BayaNkara	bhayaṅkara	наводя ужас	01_mahabharata-adiparva	1.17.18-23	translation
BayaSokasamAvizwa	BayaSokasamAvizwa	bhayaśokasamāviṣṭa	Тоска и страх овладели	03_mahabharata-aranyakaparva	3.57.1-4	translation
BayadAyin	BayadAyi	bhayadāyi	приводило в трепет	raghuvamsha	11.67-68	translation
Bayada	BayadA	bhayadā	Жестокую	03_ramayana-aranyakanda	69.12	translation
BayadarSin	BayadarSinI	bhayadarśinī	сознавая опасность	02_ramayana-ayodhyakanda	13.2	translation
Bayahetu	Bayahetu	bhayahetu	причина для опасений	buddhacharita	1.30	translation
Bayakara	Bayakara	bhayakara	ужас наводящим	06_mahabharata-bhishmaparva	6.83.23-36	translation
Bayakartf	Bayakartf	bhayakartṛ	сеющий ужас	14_mahabharata-ashvamedhikaparva	14.56.1-3	translation
BayamAna	BayamAnaH	bhayamānaḥ	Бхаямана	01_rigveda	100.17	translation
BayasTAna	BayasTAnam	bhayasthānam	причины для страха	02_ramayana-ayodhyakanda	69.20	translation
BayasTAnaSata	BayasTAnaSatAni	bhayasthānaśatāni	сотни поводов для страха	03_mahabharata-aranyakaparva	3.2.14-19	translation
BayasTa	BayasTe	bhayasthe	опасного положения	02_rigveda	30.6	translation
Bayatrasta	BayatrastA	bhayatrastā	Дрожащая от страха	05_ramayana-sundarakanda	25.8	translation
Bayuj	Bayuk	bhayuk	находится в каждом созвездии	vedanga_jyotisha	1.18	translation
Baz	Bazanti	bhaṣanti	говорят	03_mahabharata-aranyakaparva	3.252.1-9	translation
BedABeda	BedABeda	bhedābheda	бхеда-абхеда	vedartha-samgraha_ramanuja	59	translation
Beda	Beda	bheda	от раздела	01_mahabharata-adiparva	1.25.10-17	translation
BedabudDi	BedabudDi	bhedabuddhi	полагания вселенной отличной от Высшего духа	devi-gita	7.9	translation
Bedaka	Bedaka	bhedaka	Взламывающих	manavadharmashastra	9.280	translation
Bedakara	Bedakara	bhedakara	вносят разлад	03_ramayana-aranyakanda	45.30	translation
Bedana	Bedana	bhedana	ломанием	05_ramayana-sundarakanda	22.37	translation
Bedatas	Bedatas	bhedatas	как	sankhya-karika	15.2	translation
Bedin	BediBiH	bhedibhiḥ	пронзившими	03_ramayana-aranyakanda	21.9	translation
Beka	Beka	bheka	Лягушки	02_ramayana-ayodhyakanda	63.16	translation
BeqI	BeqI	bheḍī	Бхеди	09_mahabharata-shalyaparva	9.45.9-15	translation
BerI	BerI	bherī	барабанов	05_ramayana-sundarakanda	6.12	translation
BerISaNKavAda	BerISaNKavAda	bherīśaṅkhavāda	трубачей с барабанщиками	06_mahabharata-bhishmaparva	6.1.26-34	translation
BerIsvanamahAsvanA	BerIsvanamahAsvanA	bherīsvanamahāsvanā	Бхерисванамахасвана	09_mahabharata-shalyaparva	9.45.23-28	translation
Bettf	Bettf	bhettṛ	дробящий	01_mahabharata-adiparva	1.26.1-13	translation
Bezaja	Bezajam	bheṣajam	целебном средстве	01_atharvaveda	5.4	translation
Bf	biBrataH	bibhrataḥ	неся	01_atharvaveda	1.1	translation
BfNgA	BfNgA	bhṛṅgā	пчел	09_atharvaveda	2.22	translation
BfNgAra	BfNgAra	bhṛṅgāra	сосуд	05_ramayana-sundarakanda	18.12	translation
BfNgAru	BfNgAru	bhṛṅgāru	ваза	02_ramayana-ayodhyakanda	14.38	translation
BfNgI	BfNgI	bhṛṅgī	пчел	gitagovinda	2.20	translation
BfNga	BfNga	bhṛṅga	бхринги	kama-sutra	7.2.33	translation
BfNgarAja	BfNgarAja	bhṛṅgarāja	бхрингараджи	03_mahabharata-aranyakaparva	3.107.4-12	translation
BfNgin	BfNgI	bhṛṅgī	пчел	gitagovinda	2.20	translation
BfSa	BfSam	bhṛśam	большой	01_mahabharata-adiparva	1.1.73-78	translation
BfSaSokavarDana	BfSaSokavarDana	bhṛśaśokavardhana	увеличило бы мою печаль	04_mahabharata-virataparva	4.10.8-9	translation
BfSadAruRa	BfSadAruRe	bhṛśadāruṇe	полном опасностей	02_ramayana-ayodhyakanda	12.23	translation
BfSaduHKita	BfSaduHKita	bhṛśaduḥkhita	страдая	02_ramayana-ayodhyakanda	75.63	translation
BfSakopana	BfSakopana	bhṛśakopana	весьма гневных	01_mahabharata-adiparva	1.27.30-35	translation
BfSam	BfSam	bhṛśam	большой	01_mahabharata-adiparva	1.1.73-78	translation
BfSapIqita	BfSapIqita	bhṛśapīḍita	жестоко изранен	03_mahabharata-aranyakaparva	3.20.2-6	translation
BfSasaMhfzwa	BfSasaMhfzwA	bhṛśasaṃhṛṣṭā	сильно обрадованные	09_mahabharata-shalyaparva	9.60.59-65	translation
BfSatA	BfSatayA	bhṛśatayā	сильный	raghuvamsha	11.57-61	translation
BfgUdvaha	BfgUdvaha	bhṛgūdvaha	потомок Бхригу	01_mahabharata-adiparva	1.5.11-21	translation
BfgavARa	BfgavARo	bhṛgavāṇo	Бхригу	01_rigveda	71.4	translation
Bfgu	Bfgu	bhṛgu	Бхригу	01_mahabharata-adiparva	1.5.7-9	translation
BfguSArdUla	BfguSArdUla	bhṛguśārdūla	тигр из рода Бхригу	01_mahabharata-adiparva	1.13.43-45	translation
BfguSrezWa	BfguSrezWa	bhṛguśreṣṭha	лучший среди потомков Бхригу	12_mahabharata-shantiparva	12.2.12-18	translation
Bfgukulodvaha	Bfgukulodvaha	bhṛgukulodvaha	продолжатель рода Бхригу	03_mahabharata-aranyakaparva	3.117.5-10	translation
Bfgunandana	Bfgunandana	bhṛgunandana	потомок Бхригу	01_mahabharata-adiparva	1.5.4-6	translation
Bfgupati	Bfgupati	bhṛgupati	повелителя Бхригу	gitagovinda	1.1	commentary
BfguprasravaRa	BfguprasravaRe	bhṛguprasravaṇe	Бхригупрасаване	01_ramayana-balakanda	38.5	translation
Bfgusattama	Bfgusattama	bhṛgusattama	лучший из потомков Бхригу	01_mahabharata-adiparva	1.170.7-13	translation
BfgutuNga	BfgutuNga	bhṛgutuṅga	Бхригутунга	01_ramayana-balakanda	61.11	translation
BfguvaMSa	BfguvaMSa	bhṛguvaṃśa	род Бхригу	01_mahabharata-adiparva	1.2.72-96	translation
BfjjakaRwaka	BfjjakaRwaka	bhṛjjakaṇṭaka	бхриджджакантака	manavadharmashastra	10.21	translation
BfkuwI	BfkuwI	bhṛkuṭī	брови	02_ramayana-ayodhyakanda	116.3	translation
Bfkuwi	Bfkuwim	bhṛkuṭim	брови	02_ramayana-ayodhyakanda	10.6	translation
Bfma	BfmaM	bhṛmaṃ	ошибку	08_rigveda	61.12	translation
Bfmala	Bfmala	bhṛmala	оглушенный	12_atharvaveda	1.46	translation
Bfmi	Bfmi	bhṛmi	ревностный	01_rigveda	31.16	translation
Bft	Bfti	bhṛti	жалованье	manavadharmashastra	8.231	translation
BftakADyApaka	BftakADyApaka	bhṛtakādhyāpaka	обучающего за плату	manavadharmashastra	3.156	translation
BftakADyApita	BftakADyApita	bhṛtakādhyāpita	обучающегося у платного учителя	manavadharmashastra	3.156	translation
Bftaka	BftakAH	bhṛtakāḥ	слугами	02_ramayana-ayodhyakanda	48.23	translation
Bfti	Bfti	bhṛti	жалованье	manavadharmashastra	8.231	translation
BftyA	BftyAm	bhṛtyām	служить	01_rigveda	84.16	translation
BftyADyApana	BftyADyApana	bhṛtyādhyāpana	обучение [Веде] за плату	manavadharmashastra	11.63	translation
Bftya	Bftya	bhṛtya	слуг	01_mahabharata-adiparva	1.2.234-243	translation
BftyaBAvin	BftyaBAvi	bhṛtyabhāvi	смиренным слугою	raghuvamsha	11.47-49	translation
Bftyajana	Bftyajana	bhṛtyajana	челядь	manavadharmashastra	11.22	translation
Bftyavarga	Bftyavarga	bhṛtyavarga	слуг	03_mahabharata-aranyakaparva	3.204.15	translation
Bftyavftti	Bftyavfttaye	bhṛtyavṛttaye	для содержания челяди	manavadharmashastra	11.7	translation
Bfzwi	BfzwiH	bhṛṣṭiḥ	вершина	01_rigveda	56.3	translation
Bfzwimat	BfzwimatA	bhṛṣṭimatā	зазубренной	01_rigveda	52.15	translation
Bid	Binadmi	bhinadmi	пробиваю	01_atharvaveda	3.7	translation
Bikz	Bikzasva	bhikṣasva	попроси	01_mahabharata-adiparva	1.3.96-100	translation
BikzA	BikzAm	bhikṣām	как милостыню	01_mahabharata-adiparva	1.13.23-28	translation
BikzABuj	BikzABujAm	bhikṣābhujām	питающихся подаянием	01_mahabharata-adiparva	1.1.102-108	commentary
BikzASin	BikzASI	bhikṣāśī	Подаянием только сыт	shatakatrayam	3.95	translation
BikzAcaraRa	BikzAcaraRa	bhikṣācaraṇa	просящего милостыню	02_ramayana-ayodhyakanda	32.44	translation
BikzAcarya	BikzAcarya	bhikṣācarya	жизнь отшельников	nyaya-bhashya	4.1.62	translation
BikzAhAra	BikzAhAra	bhikṣāhāra	подаянием жить	shatakatrayam	3.30	translation
BikzArTin	BikzArTin	bhikṣārthin	собирая милостыню	manavadharmashastra	8.93	translation
BikzAwana	BikzAwana	bhikṣāṭana	собери милостыню	gitarthasamgraha-abhinavagupta	4.3	translation
Bikzin	BikziRyAH	bhikṣiṇyāḥ	Отшельницы	02_ramayana-ayodhyakanda	29.13	translation
Bikzu	Bikzave	bhikṣave	нищему	manavadharmashastra	3.94	translation
BikzukI	BikzukI	bhikṣukī	нищенки	kama-sutra	1.4.35	translation
