slp1	hom	sense_id	lemma	locus	cite	conf	method	rights	source	gloss	reason
Sri	1	?	śri	lemma:157331		0.0	unassigned	public	DCS	to cause to lean; to lay on; to fasten to; to spread; to diffuse over; to cling 	no locus/overlap candidate — residue for LLM/human pass
Sri	1	?	śri	lemma:214875		0.0	unassigned	public	DCS	[gramm.] root śri	no locus/overlap candidate — residue for LLM/human pass
hari	1	?	hari	lemma:108666		0.0	unassigned	public	DCS	bearing; carrying	no locus/overlap candidate — residue for LLM/human pass
hari	1	?	hari	lemma:108714		0.0	unassigned	public	DCS	fawn-coloured; reddish brown; brown; tawny; pale yellow; yellow; fallow; bay (es	no locus/overlap candidate — residue for LLM/human pass
maDyama		?	madhyama	lemma:35898		0.0	unassigned	public	DCS	the middle; mediocrity; defectiveness; (in astron.) the meridian ecliptic point;	no locus/overlap candidate — residue for LLM/human pass
Gana		?	ghana	lemma:157043		0.0	unassigned	public	DCS	killer; solid; firm; dense; gross; thick; densely filled with; dark; deep; compl	no locus/overlap candidate — residue for LLM/human pass
Bavya		?	bhavya	lemma:49309		0.0	unassigned	public	DCS	being; existing; present; to be about to be or become; future; likely to be; on 	no locus/overlap candidate — residue for LLM/human pass
mADava		1b	mādhava	Mahābhārata, MBh, 1, 210, 2	dcs:180976	0.5	overlap	public	DCS	relating to spring; vernal; belonging or peculiar to the descendants of Madhu i.	confidence<tau
mADava		1b	mādhava	Matsyapurāṇa, MPur, 13, 36	dcs:334068	0.5	overlap	public	DCS	relating to spring; vernal; belonging or peculiar to the descendants of Madhu i.	confidence<tau
mADava		1b	mādhava	Bhāratamañjarī, BhāMañj, 1, 255	dcs:574593	0.5	overlap	public	DCS	relating to spring; vernal; belonging or peculiar to the descendants of Madhu i.	confidence<tau
mADava		?	mādhava	lemma:78722		0.0	unassigned	public	DCS	sweetness; a particular intoxicating drink	no locus/overlap candidate — residue for LLM/human pass
anta		10	anta	Vaikhānasadharmasūtra, VaikhDhS, 1, 4, 1	dcs:100014	0.5	overlap	public	DCS	end; limit; boundary; term; end of a texture; end; conclusion; end of life; deat	confidence<tau
anta		10	anta	Vaikhānasadharmasūtra, VaikhDhS, 1, 6, 4	dcs:100028	0.5	overlap	public	DCS	end; limit; boundary; term; end of a texture; end; conclusion; end of life; deat	confidence<tau
anta		10	anta	Vaikhānasadharmasūtra, VaikhDhS, 1, 6, 4	dcs:100028	0.5	overlap	public	DCS	end; limit; boundary; term; end of a texture; end; conclusion; end of life; deat	confidence<tau
ananta		?	ananta	lemma:9854		0.0	unassigned	public	DCS	endless; boundless; eternal; infinite	no locus/overlap candidate — residue for LLM/human pass
ananta		?	ananta	lemma:9857		0.0	unassigned	public	DCS	the sky; atmosphere; Talc; gold (?); [min.] = abhra	no locus/overlap candidate — residue for LLM/human pass
kaRwaka		?	kaṇṭaka	lemma:84446		0.0	unassigned	public	DCS	coming from the plant Trikaṇṭaka	no locus/overlap candidate — residue for LLM/human pass
ramaRa		?	ramaṇa	lemma:66749		0.0	unassigned	public	DCS	pleasing; charming; delightful; having sex	no locus/overlap candidate — residue for LLM/human pass
nandin		?	nandin	lemma:44025		0.0	unassigned	public	DCS	rejoicing; gladdening; delighting in; liking	no locus/overlap candidate — residue for LLM/human pass
ma	2	?	ma	lemma:213165		0.0	unassigned	public	DCS	[gramm.] the sound or letter m(a); [gramm.] substitute for asm; [gramm.] a taddh	no locus/overlap candidate — residue for LLM/human pass
satya		?	satya	lemma:16630		0.0	unassigned	public	DCS	true; real; actual; genuine; sincere; honest; truthful; faithful; pure; virtuous	no locus/overlap candidate — residue for LLM/human pass
satya		?	satya	lemma:16633		0.0	unassigned	public	DCS	truth; sincerity; vow; dogma; the first of the four yugas	no locus/overlap candidate — residue for LLM/human pass
para		3a	para	Vaikhānasadharmasūtra, VaikhDhS, 1, 7, 3	dcs:100036	0.5	overlap	public	DCS	far; remote; opposite; previous; ancient; following; final; exceeding; better or	confidence<tau
para		3a	para	Vaikhānasadharmasūtra, VaikhDhS, 1, 7, 3	dcs:100036	0.5	overlap	public	DCS	far; remote; opposite; previous; ancient; following; final; exceeding; better or	confidence<tau
para		3a	para	Vaikhānasadharmasūtra, VaikhDhS, 1, 9, 14	dcs:100057	0.5	overlap	public	DCS	far; remote; opposite; previous; ancient; following; final; exceeding; better or	confidence<tau
uttara	1	?	uttara	lemma:55675		0.0	unassigned	public	DCS	upper surface or cover; the north; the following member; the last part of a comp	no locus/overlap candidate — residue for LLM/human pass
sTira		?	sthira	lemma:103003		0.0	unassigned	public	DCS	firm; hard; solid; compact; strong; fixed; immovable; motionless; still; calm; f	no locus/overlap candidate — residue for LLM/human pass
bfhant		3a	bṛhant	Mahābhārata, MBh, 1, 61, 53	dcs:164041	0.5	overlap	public	DCS	name of a prince; name of a Marut	confidence<tau
bfhant		3a	bṛhant	Matsyapurāṇa, MPur, 171, 54	dcs:350659	0.5	overlap	public	DCS	name of a prince; name of a Marut	confidence<tau
bfhant		3a	bṛhant	Harivaṃśa, HV, 23, 73	dcs:760236	0.5	overlap	public	DCS	name of a prince; name of a Marut	confidence<tau
bfhant		4a	bṛhant	Vārāhagṛhyasūtra, VārGS, 14, 13	dcs:102674	0.5	overlap	public	DCS	height (also= heaven); name of various Sāmans composed in the metrical form; nam	confidence<tau
bfhant		4a	bṛhant	Mahābhārata, MBh, 3, 163, 28	dcs:200794	0.5	overlap	public	DCS	height (also= heaven); name of various Sāmans composed in the metrical form; nam	confidence<tau
bfhant		4a	bṛhant	Mahābhārata, MBh, 12, 47, 26	dcs:278928	0.5	overlap	public	DCS	height (also= heaven); name of various Sāmans composed in the metrical form; nam	confidence<tau
mfga		1a	mṛga	Vaikhānasadharmasūtra, VaikhDhS, 3, 13, 2	dcs:100366	0.5	overlap	public	DCS	a forest animal or wild beast; game of any kind; a deer; fawn; antelope; stag; m	confidence<tau
mfga		1a	mṛga	Vaikhānasadharmasūtra, VaikhDhS, 3, 14, 2	dcs:100378	0.5	overlap	public	DCS	a forest animal or wild beast; game of any kind; a deer; fawn; antelope; stag; m	confidence<tau
mfga		1a	mṛga	Rasādhyāya, RAdhy, 1, 203	dcs:100818	0.5	overlap	public	DCS	a forest animal or wild beast; game of any kind; a deer; fawn; antelope; stag; m	confidence<tau
prakASa		?	prakāśa	lemma:151120		0.0	unassigned	public	DCS	visible; shining; bright; clear; manifest; open; public; expanded; universally n	no locus/overlap candidate — residue for LLM/human pass
prakASa		?	prakāśa	lemma:151122		0.0	unassigned	public	DCS	bell-metal; brass; bronze	no locus/overlap candidate — residue for LLM/human pass
kva		?	kva	lemma:134289		0.0	unassigned	public	DCS	where? in what place? whither?(sometimes connected with particles ﾮMDBOﾯ~ṝha); h	no locus/overlap candidate — residue for LLM/human pass
SiKin		?	śikhin	lemma:132575		0.0	unassigned	public	DCS	having a tuft or lock of hair on the top of the head; one who has reached the su	no locus/overlap candidate — residue for LLM/human pass
kUwa	1	?	kūṭa	lemma:3248		0.0	unassigned	public	DCS	the bone of the forehead with its projections or prominences; horn; a kind of ve	no locus/overlap candidate — residue for LLM/human pass
kUwa	1	?	kūṭa	lemma:3249		0.0	unassigned	public	DCS	any prominence or projection; summit; head; the highest; most excellent; first; 	no locus/overlap candidate — residue for LLM/human pass
kUwa	1	?	kūṭa	lemma:3252		0.0	unassigned	public	DCS	not horned or cornuted; false; untrue; deceitful; base; hornless	no locus/overlap candidate — residue for LLM/human pass
SArada		?	śārada	lemma:132359		0.0	unassigned	public	DCS	produced in autumn; mature; new; recent; modest; shy; diffident	no locus/overlap candidate — residue for LLM/human pass
SArada		?	śārada	lemma:132362		0.0	unassigned	public	DCS	corn; grain; fruit (as ripening in autumn); the white lotus; a kind of rice (?)	no locus/overlap candidate — residue for LLM/human pass
BAvana	1	?	bhāvana	lemma:49425		0.0	unassigned	public	DCS	a forest of rays	no locus/overlap candidate — residue for LLM/human pass
BAvana	1	?	bhāvana	lemma:49952		0.0	unassigned	public	DCS	causing to be; effecting; producing; displaying; manifesting; promoting or effec	no locus/overlap candidate — residue for LLM/human pass
DaraRa		?	dharaṇa	lemma:91893		0.0	unassigned	public	DCS	bearing; supporting	no locus/overlap candidate — residue for LLM/human pass
DaraRa		?	dharaṇa	lemma:91894		0.0	unassigned	public	DCS	a dike or bank; the world; the sun; the female breast; rice-corn; name of a king	no locus/overlap candidate — residue for LLM/human pass
DaraRa		?	dharaṇa	lemma:91896		0.0	unassigned	public	DCS	the act of bearing; holding; bringing; procuring; support; prop; stay; a particu	no locus/overlap candidate — residue for LLM/human pass
sad		?	sad	lemma:157285		0.0	unassigned	public	DCS	to sit down (esp. at a sacrifice); to sit upon or in or at (acc. or loc.); to si	no locus/overlap candidate — residue for LLM/human pass
sad		?	sad	lemma:171307		0.0	unassigned	public	DCS	sitting in or at	no locus/overlap candidate — residue for LLM/human pass
sad		?	sad	lemma:215450		0.0	unassigned	public	DCS	[gramm.] root sad	no locus/overlap candidate — residue for LLM/human pass
sADu		?	sādhu	lemma:112171		0.0	unassigned	public	DCS	straight; right; leading to a goal; unerring; straightened; well-disposed; willi	no locus/overlap candidate — residue for LLM/human pass
sADu		?	sādhu	lemma:112172		0.0	unassigned	public	DCS	a holyman; saint; sage; seer; a good or virtuous or honest man; [bot.] = dama	no locus/overlap candidate — residue for LLM/human pass
yadi		?	yadi	lemma:73699		0.0	unassigned	public	DCS	in case that; if; whether	no locus/overlap candidate — residue for LLM/human pass
yadi		?	yadi	lemma:215616		0.0	unassigned	public	DCS	[gramm.] the word 'yadi'	no locus/overlap candidate — residue for LLM/human pass
BUta		?	bhūta	lemma:25204		0.0	unassigned	public	DCS	become; been; gone; past (n. the past); actually happened; true; real (n. an act	no locus/overlap candidate — residue for LLM/human pass
pada		?	pada	lemma:215050		0.0	unassigned	public	DCS	[gramm.] root pad	no locus/overlap candidate — residue for LLM/human pass
Sukra		1b	śukra	Gobhilagṛhyasūtra, GobhGS, 3, 8, 5	dcs:103774	0.5	overlap	public	DCS	bright; clear; pure; white; light-coloured; spotless; gekl￤rt (Soma)	confidence<tau
Sukra		1b	śukra	Mahābhārata, MBh, 1, 3, 61	dcs:158871	0.5	overlap	public	DCS	bright; clear; pure; white; light-coloured; spotless; gekl￤rt (Soma)	confidence<tau
Sukra		1b	śukra	Mahābhārata, MBh, 5, 45, 1	dcs:219306	0.5	overlap	public	DCS	bright; clear; pure; white; light-coloured; spotless; gekl￤rt (Soma)	confidence<tau
Sukra		?	śukra	lemma:163313		0.0	unassigned	public	DCS	brightness; light; juice; any clear liquid; sperm; a morbid affection of the iri	no locus/overlap candidate — residue for LLM/human pass
manda		?	manda	lemma:36632		0.0	unassigned	public	DCS	slow; tardy; moving slowly or softly; loitering; idle; sluggish in; apathetic; p	no locus/overlap candidate — residue for LLM/human pass
Sveta		?	śveta	lemma:41440		0.0	unassigned	public	DCS	white; dressed in white; bright; gelblichwei￟	no locus/overlap candidate — residue for LLM/human pass
Sveta		?	śveta	lemma:41443		0.0	unassigned	public	DCS	the white of the eye; the growing white (of the hair); silver; butter-milk and w	no locus/overlap candidate — residue for LLM/human pass
Sveta		?	śveta	lemma:199019		0.0	unassigned	public	DCS	name of a Yogaśiṣya; name of a mountain; name of a people; name of a king from t	no locus/overlap candidate — residue for LLM/human pass
BaNga		1	bhaṅga	Ṛgveda, ṚV, 9, 61, 13	dcs:607929	0.5	overlap	public	DCS	breaking; bursting (said of the Soma)	confidence<tau
BaNga		1	bhaṅga	Kāṭhakasaṃhitā, KS, 7, 6, None	dcs:731105_1	0.5	overlap	public	DCS	breaking; bursting (said of the Soma)	confidence<tau
BaNga		1	bhaṅga	Kāṭhakasaṃhitā, KS, 7, 6, None	dcs:731106_1	0.5	overlap	public	DCS	breaking; bursting (said of the Soma)	confidence<tau
BaNga		?	bhaṅga	lemma:222850		0.0	unassigned	public	DCS	Bruchst￼ck	no locus/overlap candidate — residue for LLM/human pass
vakra		?	vakra	lemma:67631		0.0	unassigned	public	DCS	crooked; curved; bent; tortuous; twisted; wry; oblique; curled; curly (as hair);	no locus/overlap candidate — residue for LLM/human pass
sita	3	?	sita	lemma:105874		0.0	unassigned	public	DCS	white; pale; bright; light (said of a day in the light half of a month and of th	no locus/overlap candidate — residue for LLM/human pass
sita	3	?	sita	lemma:105877		0.0	unassigned	public	DCS	silver; sandal; a radish; tin	no locus/overlap candidate — residue for LLM/human pass
puRqarIka		?	puṇḍarīka	lemma:144418		0.0	unassigned	public	DCS	a lotus-flower; a white umbrella; a kind of drug; a mark on the forehead; name o	no locus/overlap candidate — residue for LLM/human pass
capala		?	capala	lemma:164410		0.0	unassigned	public	DCS	shaking; unsteady; fickle; inconsiderate; quick; momentary	no locus/overlap candidate — residue for LLM/human pass
capala		?	capala	lemma:164411		0.0	unassigned	public	DCS	a fish; the wind; quicksilver; black mustard; a kind of mouse; bismuth; one sort	no locus/overlap candidate — residue for LLM/human pass
capala		?	capala	lemma:164412		0.0	unassigned	public	DCS	a kind of metal	no locus/overlap candidate — residue for LLM/human pass
nandana		3a	nandana	Rāmāyaṇa, Rām, Bā, 26, 13	dcs:113573	0.5	overlap	public	DCS	gladdening or gladness; name of a sword; name of a metre; Indra's paradise; [min	confidence<tau
nandana		3a	nandana	Rāmāyaṇa, Rām, Ay, 85, 42	dcs:120795	0.5	overlap	public	DCS	gladdening or gladness; name of a sword; name of a metre; Indra's paradise; [min	confidence<tau
nandana		3a	nandana	Rāmāyaṇa, Rām, Ay, 85, 75	dcs:120862	0.5	overlap	public	DCS	gladdening or gladness; name of a sword; name of a metre; Indra's paradise; [min	confidence<tau
nandana		?	nandana	lemma:43959		0.0	unassigned	public	DCS	gladdening	no locus/overlap candidate — residue for LLM/human pass
mAlin		?	mālin	lemma:79505		0.0	unassigned	public	DCS	garlanded; crowned; encircled or surrounded by (instr. or comp.)	no locus/overlap candidate — residue for LLM/human pass
sarvatoBadra		?	sarvatobhadra	lemma:105137		0.0	unassigned	public	DCS	in every direction or on every side good; in every way auspicious	no locus/overlap candidate — residue for LLM/human pass
sarvatoBadra		?	sarvatobhadra	lemma:105140		0.0	unassigned	public	DCS	a building having continuous galleries around; a mystical diagram of a square sh	no locus/overlap candidate — residue for LLM/human pass
yam		8	yam	Aṣṭādhyāyī, Aṣṭādhyāyī, 1, 2, 15	dcs:551646	0.5	overlap	public	DCS	[gramm.] the root yam	confidence<tau
yam		8	yam	Aṣṭādhyāyī, Aṣṭādhyāyī, 1, 3, 56	dcs:551760	0.5	overlap	public	DCS	[gramm.] the root yam	confidence<tau
yam		8	yam	Aṣṭādhyāyī, Aṣṭādhyāyī, 1, 3, 75	dcs:551779	0.5	overlap	public	DCS	[gramm.] the root yam	confidence<tau
yam		?	yam	lemma:157296		0.0	unassigned	public	DCS	to sustain; to hold; to support; to raise; to extend one's self; to control; to 	no locus/overlap candidate — residue for LLM/human pass
maDu		?	madhu	lemma:35440		0.0	unassigned	public	DCS	sweet; delicious; pleasant; charming; delightful; bitter or pungent	no locus/overlap candidate — residue for LLM/human pass
maDu		?	madhu	lemma:35442		0.0	unassigned	public	DCS	a particular plant	no locus/overlap candidate — residue for LLM/human pass
maRqala		?	maṇḍala	lemma:27078		0.0	unassigned	public	DCS	circular; round	no locus/overlap candidate — residue for LLM/human pass
rohita		?	rohita	lemma:80124		0.0	unassigned	public	DCS	red; reddish; ruddy	no locus/overlap candidate — residue for LLM/human pass
guru		?	guru	lemma:124568		0.0	unassigned	public	DCS	heavy; weighty; heavy in the stomach (food); (in prosody) long; vehement; diffic	no locus/overlap candidate — residue for LLM/human pass
guru		?	guru	lemma:207265		0.0	unassigned	public	DCS	lead	no locus/overlap candidate — residue for LLM/human pass
vIra		?	vīra	lemma:166143		0.0	unassigned	public	DCS	man; hero; chief; mankind; son; the male of an animal; an adept; Terminalia Arun	no locus/overlap candidate — residue for LLM/human pass
vIra		?	vīra	lemma:166144		0.0	unassigned	public	DCS	a reed; the root of ginger; pepper; rice-gruel; the root of Costus Speciosus; th	no locus/overlap candidate — residue for LLM/human pass
saMsTa		?	saṃstha	lemma:8429		0.0	unassigned	public	DCS	standing together; standing or staying or resting or being in or on; contained i	no locus/overlap candidate — residue for LLM/human pass
saMsTa		?	saṃstha	lemma:8430		0.0	unassigned	public	DCS	presence; a spy; secret emissary; a dweller; resident; inhabitant; a fellow-coun	no locus/overlap candidate — residue for LLM/human pass
SAnta	1	?	śānta	lemma:132271		0.0	unassigned	public	DCS	appeased; pacified; tranquil; calm; free from passions; undisturbed; soft; plian	no locus/overlap candidate — residue for LLM/human pass
ca	1	?	ca	lemma:157144		0.0	unassigned	public	DCS	and; both; also; moreover; as well as	no locus/overlap candidate — residue for LLM/human pass
ca	1	?	ca	lemma:205522		0.0	unassigned	public	DCS	the sound ca; the word ca	no locus/overlap candidate — residue for LLM/human pass
ca	1	?	ca	lemma:224237		0.0	unassigned	public	DCS	if	no locus/overlap candidate — residue for LLM/human pass
vfza	1	?	vṛṣa	lemma:142843		0.0	unassigned	public	DCS	a woman's apartment; myrobolan; a peacock's plumage or tail; a kind of āsana	no locus/overlap candidate — residue for LLM/human pass
nAga	1	?	nāga	lemma:33019		0.0	unassigned	public	DCS	formed of snakes; relating to serpents or serpents-demons; serpentlike	no locus/overlap candidate — residue for LLM/human pass
kzama		?	kṣama	lemma:135408		0.0	unassigned	public	DCS	patient (said of the earth); ifc. enduring; suffering; bearing; submissive; resi	no locus/overlap candidate — residue for LLM/human pass
kzama		?	kṣama	lemma:135412		0.0	unassigned	public	DCS	power; fitness	no locus/overlap candidate — residue for LLM/human pass
gati		?	gati	lemma:130099		0.0	unassigned	public	DCS	name of a son of Anala	no locus/overlap candidate — residue for LLM/human pass
suvarRa		2	suvarṇa	Vaikhānasadharmasūtra, VaikhDhS, 2, 4, 1	dcs:100115	0.5	overlap	public	DCS	gold (of which 57 synonyms are given); money; wealth; property; riches; a sort o	confidence<tau
suvarRa		2	suvarṇa	Vaikhānasadharmasūtra, VaikhDhS, 3, 9, 4	dcs:100327	0.5	overlap	public	DCS	gold (of which 57 synonyms are given); money; wealth; property; riches; a sort o	confidence<tau
suvarRa		2	suvarṇa	Vaikhānasadharmasūtra, VaikhDhS, 3, 10, 5	dcs:100333	0.5	overlap	public	DCS	gold (of which 57 synonyms are given); money; wealth; property; riches; a sort o	confidence<tau
jyezWa		2a	jyeṣṭha	Vaikhānasadharmasūtra, VaikhDhS, 1, 5, 6	dcs:100024	0.5	overlap	public	DCS	the ascending bucket (in a machine for raising water); name of a man; a form of 	confidence<tau
jyezWa		2a	jyeṣṭha	Suśrutasaṃhitā, Su, Sū., 6, 10	dcs:1082	0.5	overlap	public	DCS	the ascending bucket (in a machine for raising water); name of a man; a form of 	confidence<tau
jyezWa		2a	jyeṣṭha	Āyurvedadīpikā, ĀVDīp zu Ca, Cik., 2, 13.6, 1	dcs:152818	0.5	overlap	public	DCS	the ascending bucket (in a machine for raising water); name of a man; a form of 	confidence<tau
jyezWa		?	jyeṣṭha	lemma:95220		0.0	unassigned	public	DCS	most excellent; pre-eminent; first; chief; greatest; more excellent than (abl.);	no locus/overlap candidate — residue for LLM/human pass
mEtra		1c	maitra	Rāmāyaṇa, Rām, Bā, 51, 17	dcs:114808	0.5	overlap	public	DCS	coming from or given by or belonging to a friend; friendly; amicable; benevolent	confidence<tau
mEtra		1c	maitra	Rāmāyaṇa, Rām, Ay, 86, 7	dcs:120881	0.5	overlap	public	DCS	coming from or given by or belonging to a friend; friendly; amicable; benevolent	confidence<tau
mEtra		1c	maitra	Mahābhārata, MBh, 1, 57, 68	dcs:163295	0.5	overlap	public	DCS	coming from or given by or belonging to a friend; friendly; amicable; benevolent	confidence<tau
mEtra		2d	maitra	Mahābhārata, MBh, 1, 176, 29	dcs:177765	0.5	overlap	public	DCS	a Brāhman who has arrived at the highest state of human perfection; a particular	confidence<tau
mEtra		2d	maitra	Mahābhārata, MBh, 1, 209, 5	dcs:180870	0.5	overlap	public	DCS	a Brāhman who has arrived at the highest state of human perfection; a particular	confidence<tau
mEtra		2d	maitra	Mahābhārata, MBh, 1, 212, 1	dcs:181356	0.5	overlap	public	DCS	a Brāhman who has arrived at the highest state of human perfection; a particular	confidence<tau
mEtra		1c	maitra	Rāmāyaṇa, Rām, Ay, 83, 21	dcs:120662	0.5	overlap	public	DCS	friendship; a multitude of friends; an early morning prayer addressed to Mitra; 	confidence<tau
mEtra		1c	maitra	Mahābhārata, MBh, 1, 114, 13	dcs:170752	0.5	overlap	public	DCS	friendship; a multitude of friends; an early morning prayer addressed to Mitra; 	confidence<tau
mEtra		1c	maitra	Mahābhārata, MBh, 5, 22, 6	dcs:217305	0.5	overlap	public	DCS	friendship; a multitude of friends; an early morning prayer addressed to Mitra; 	confidence<tau
samudra	1	?	samudra	lemma:30277		0.0	unassigned	public	DCS	name of two Sāmans; name of various metres	no locus/overlap candidate — residue for LLM/human pass
mUla		?	mūla	lemma:137542		0.0	unassigned	public	DCS	a root (of any plant or tree); the foot or lowest part or bottom of anything; a 	no locus/overlap candidate — residue for LLM/human pass
mUla		?	mūla	lemma:137543		0.0	unassigned	public	DCS	name of the 17th (or 19th) lunar mansion	no locus/overlap candidate — residue for LLM/human pass
mUla		?	mūla	lemma:137547		0.0	unassigned	public	DCS	original; first; own; proper; peculiar	no locus/overlap candidate — residue for LLM/human pass
viSva		?	viśva	lemma:139265		0.0	unassigned	public	DCS	the whole world; universe; dry ginger; myrrh; a mystical name of the sound o	no locus/overlap candidate — residue for LLM/human pass
Sambara		1f	śambara	Rāmāyaṇa, Rām, Ay, 9, 11	dcs:116593	0.5	overlap	public	DCS	name of a demon; cloud; a weapon; war; fight; a kind of deer; a fish or a kind o	confidence<tau
Sambara		1f	śambara	Rāmāyaṇa, Rām, Su, 14, 8	dcs:132178	0.5	overlap	public	DCS	name of a demon; cloud; a weapon; war; fight; a kind of deer; a fish or a kind o	confidence<tau
Sambara		1f	śambara	Rāmāyaṇa, Rām, Yu, 57, 7	dcs:140101	0.5	overlap	public	DCS	name of a demon; cloud; a weapon; war; fight; a kind of deer; a fish or a kind o	confidence<tau
caRqa		?	caṇḍa	lemma:161843		0.0	unassigned	public	DCS	fierce; violent; cruel; hot; ardent with passion; angry	no locus/overlap candidate — residue for LLM/human pass
pataMga		2a	pataṃga	Rasārṇava, RArṇ, 5, 39	dcs:108104	0.5	overlap	public	DCS	flying; any flying insect; a grasshopper; a bee; a horse; the sun; name of one o	confidence<tau
pataMga		2a	pataṃga	Rāmāyaṇa, Rām, Ay, 25, 12	dcs:117589	0.5	overlap	public	DCS	flying; any flying insect; a grasshopper; a bee; a horse; the sun; name of one o	confidence<tau
pataMga		2a	pataṃga	Rāmāyaṇa, Rām, Ār, 27, 13	dcs:124016	0.5	overlap	public	DCS	flying; any flying insect; a grasshopper; a bee; a horse; the sun; name of one o	confidence<tau
pataMga		?	pataṃga	lemma:15478		0.0	unassigned	public	DCS	a species of sandal wood; Caesalpinia sappan L.	no locus/overlap candidate — residue for LLM/human pass
tuNga		?	tuṅga	lemma:82711		0.0	unassigned	public	DCS	prominent; erect; lofty; high; chief; strong	no locus/overlap candidate — residue for LLM/human pass
tuNga		?	tuṅga	lemma:82713		0.0	unassigned	public	DCS	the lotus stamina	no locus/overlap candidate — residue for LLM/human pass
muRqa		6b	muṇḍa	Skandapurāṇa, SkPur, 14, 15	dcs:106370	0.5	overlap	public	DCS	the head; [alchemy] a kind of metal; Eisen	confidence<tau
muRqa		6b	muṇḍa	Skandapurāṇa, SkPur, 14, 15	dcs:106370	0.5	overlap	public	DCS	the head; [alchemy] a kind of metal; Eisen	confidence<tau
muRqa		6b	muṇḍa	Rasaratnasamuccaya, RRS, 5, 67	dcs:154370	0.5	overlap	public	DCS	the head; [alchemy] a kind of metal; Eisen	confidence<tau
muRqa		?	muṇḍa	lemma:169648		0.0	unassigned	public	DCS	bald; shaven	no locus/overlap candidate — residue for LLM/human pass
akzara		?	akṣara	lemma:5482		0.0	unassigned	public	DCS	imperishable; unalterable	no locus/overlap candidate — residue for LLM/human pass
akzara		?	akṣara	lemma:214049		0.0	unassigned	public	DCS	(ifc.) having an akṣara	no locus/overlap candidate — residue for LLM/human pass
grAhya		?	grāhya	lemma:156944		0.0	unassigned	public	DCS	to be seized or taken or held; to be clasped or spanned; to be captured or impri	no locus/overlap candidate — residue for LLM/human pass
grAhya		?	grāhya	lemma:156946		0.0	unassigned	public	DCS	poison; the objects of sensual perception	no locus/overlap candidate — residue for LLM/human pass
jIvaka		?	jīvaka	lemma:89328		0.0	unassigned	public	DCS	living; alive; making a livelihood by (in comp.); "generating"; for whom long li	no locus/overlap candidate — residue for LLM/human pass
nAgara		?	nāgara	lemma:33201		0.0	unassigned	public	DCS	townborn; town-bred; relating or belonging to a town or city; town-like; civic; 	no locus/overlap candidate — residue for LLM/human pass
dIpaka		?	dīpaka	lemma:84711		0.0	unassigned	public	DCS	kindling; inflaming; illuminating; exciting; stimulating (digestion); skilful in	no locus/overlap candidate — residue for LLM/human pass
dIpaka		?	dīpaka	lemma:84715		0.0	unassigned	public	DCS	a particular class of rhet. figures (throwing light upon an idea); name of a met	no locus/overlap candidate — residue for LLM/human pass
jayanta		?	jayanta	lemma:87907		0.0	unassigned	public	DCS	name of a town	no locus/overlap candidate — residue for LLM/human pass
karRika		?	karṇika	lemma:12107		0.0	unassigned	public	DCS	the pericarp of a lotus	no locus/overlap candidate — residue for LLM/human pass
karRika		?	karṇika	lemma:12108		0.0	unassigned	public	DCS	a kind of arrow (the top being shaped like an ear)	no locus/overlap candidate — residue for LLM/human pass
mohana		?	mohana	lemma:72534		0.0	unassigned	public	DCS	depriving of consciousness; bewildering; confusing; perplexing; leading astray; 	no locus/overlap candidate — residue for LLM/human pass
mohana		?	mohana	lemma:72538		0.0	unassigned	public	DCS	the being deluded or infatuated; delusion; infatuation; embarrassment; mistake; 	no locus/overlap candidate — residue for LLM/human pass
pura		?	pura	lemma:166808		0.0	unassigned	public	DCS	a town; a stronghold	no locus/overlap candidate — residue for LLM/human pass
vartana		4f	vartana	Rasārṇavakalpa, RAK, 1, 64	dcs:104313	0.5	overlap	public	DCS	the act of turning or rolling or rolling on or moving forward or about (trans. a	confidence<tau
vartana		4f	vartana	Āyurvedadīpikā, ĀVDīp zu Ca, Sū., 12, 8.5, 31	dcs:150598	0.5	overlap	public	DCS	the act of turning or rolling or rolling on or moving forward or about (trans. a	confidence<tau
vartana		4f	vartana	Āyurvedadīpikā, ĀVDīp zu Ca, Cik., 2, 4, 14.2, 1	dcs:153182	0.5	overlap	public	DCS	the act of turning or rolling or rolling on or moving forward or about (trans. a	confidence<tau
vartana		?	vartana	lemma:74598		0.0	unassigned	public	DCS	abiding; staying; setting in motion; quickening; causing to live or be	no locus/overlap candidate — residue for LLM/human pass
rOdra		2	raudra	Rasādhyāya, RAdhy, 1, 173	dcs:100756	0.5	overlap	public	DCS	relating to Rudra; Rudra-like; violent; fierce; wild; dread	confidence<tau
rOdra		2	raudra	Gobhilagṛhyasūtra, GobhGS, 1, 4, 30	dcs:103169	0.5	overlap	public	DCS	relating to Rudra; Rudra-like; violent; fierce; wild; dread	confidence<tau
rOdra		2	raudra	Gobhilagṛhyasūtra, GobhGS, 1, 4, 30	dcs:103169	0.5	overlap	public	DCS	relating to Rudra; Rudra-like; violent; fierce; wild; dread	confidence<tau
yA	1	?	yā	lemma:157263		0.0	unassigned	public	DCS	to go; to move; to set out; to travel; to withdraw; to flee; to go to for any pu	no locus/overlap candidate — residue for LLM/human pass
yA	1	?	yā	lemma:214899		0.0	unassigned	public	DCS	[gramm.] substitute for iy; [gramm.] root yā; [gramm.] substitute element -ṇā (i	no locus/overlap candidate — residue for LLM/human pass
