lemma_slp1	hom	pwg_sense_id	pwg_gloss	pwg_loci	mw_sense_id	mw_gloss	apte_sense_id	apte_gloss	confidence	note
akza	2	5	Auge in übertragener Bedeutung am Ende einiger Composita: P. 5,4,76 , Sch. ibid.	PĀṆINI'S acht Bücher grammatischer Regel 5,4,76; VOPADEVA'S Grammatik 6,77; PĀRASKARA'S GṚHYASŪTRĀṆI. 2,6					0.99	pilot; MW/Apte columns are inventory not sense-aligned
akza	2	6	die Gegend unterhalb der Schläfen YĀJÑ. 3,87 . ( VIJÑĀNEŚVARA : )	YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und D 3,87; VIJÑĀNEŚVARA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
akza	2	7	Name einer Pflanze, Terminalia Bellerica , AK. 2,4,2,39 . 3,4,224 . H. 1145 . an	AMARAKOṢA nach der Ausgabe von COLEBROOK 2,4,2,39; AMARAKOṢA nach der Ausgabe von COLEBROOK 2, 3,4,224; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1145					0.99	pilot; MW/Apte columns are inventory not sense-aligned
akza	2	8	die Nuss der Terminalia Bellerica : ( Sch. = ) CHĀND. UP. 7,3,1 . ARJ. 8,4 .*⁾ *	CHĀNDOGYOPANIṢAD 7,3,1; ARJUNASAMĀGAMA 8,4; ŚĀNTANĀCĀRYA'S PHIṬSŪTRĀṆI in BÖHTLINGK 2,12					0.99	pilot; MW/Apte columns are inventory not sense-aligned
akza	2	9	Elaeocarpus Ganitrus SUŚR	SUŚRUTA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	1a	haftend an, stehend auf, — in, befindlich —, angebracht an, enthalten in (gewöhn	ṚGVEDA. Es wird nach Maṇḍala 1,125,5; ṚGVEDA. Es wird nach Maṇḍala 1, 75,3; ṚGVEDA. Es wird nach Maṇḍala 187,4	mw:222829:1	1. Sri cl. 1. P. Ā. ( Dhātup. xxi, 31 ) Srayati , ˚te ( pf. SiSrA/ya , SiSriye/ ; aor. a/Sret , a/Sriyan , RV. ; aSrEt , AV. ; a/SiSriyat , ib. &amp;c. ; aSrAyizwa or aSrayizwa Gr. [ Ved. forms belonging either to the p… | Sri [ cf. Gk. κλίνω , κλίνη , κλῖμαξ ; Lat. clino , clivus ; Lith. szlýti , szlë́ti , szlaítas ; Goth. hlains ; hlaiw ; Germ. hlinên , linên , lehnen ; Angl.Sax. hlinian ; Eng. lean .] | 2. Sri in anta/H- and bahiH-Sri ( q.v. ) | 3. Sri light, lustre (= 3. SrI , q.v. ) at end of adj. comp. | ( Ā. or Pass. , rarely P. ) to lean on, rest on, recline against ( acc. ), cling to ( loc. ), be supported or fixed or depend on, abide in or on ( acc. loc. or adv. ), ib. ; ĀśvGṛ. ; ChUp. ; MBh. ; | ( P. Ā. ) to go to, approach, resort or have recourse to (for help or refuge), tend towards ( acc. ), MBh. ; Kāv. &amp;c.; | ( Ā. ) to go into, enter, fall to the lot or take possession of ( acc. or loc. ), Kāv. ; Kathās. ; | ( P. Ā. ) to attain, undergo, get into any state or condition ( acc. ), ib. &amp;c.; | to assume (with SrAvikA-tvam , ‘to assume the form of a Śrāvikā ’, q.v. ), Kathās. ; HPariś. ; | to show, betray (heroism), R. ; | to honour, worship, Dhātup. : | Pass. SrIyate or Sriyate ( aor. a/SrAyi : cf. above), RV. &amp;c. &amp;c.: | Caus. SrApayati (in uc-Cr˚ ), VS. ; | SrAyayati ( aor. aSiSrayat ; for aSiSriyat See above) Gr. : | Desid. SiSrayizati , ˚te or SiSrIzati , ˚te Gr. : | Intens. SeSrIyate , SeSrayIti , SeSreti , ib.	ap90:28392:1	Sri 1 U. ( Srayati-te, SiSrAya -SiSriye , aSiSriyat-ta, Srayizyati-te, SrayituM, Srita ; caus. SrAyayati-te ; desid. SiSrIzati-te , SiSrayizati-te ) | 1 To go to, approach, resort to, have recourse to, approach for protection; yaM daMSaM Srayate tameva kurute bAhupratApArjitaM H. 1. 171 ; R. 3. 70 ; 19. 1 ; SritAsi caMdanaBrAMtyA durvipAkaM vizadrupaM U. 1. 46. | 2 To go or attain to, reach, undergo, assume (as a state); parItA rakzABiH Srayati vivaSA kAmapi daSAM Bv. 1. 83 ; dvipeMdraBAvaM kalaBaH Srayanniva R. 3. 32. | 3 To cling to, lean or rest on, depend on; nIlaH snigDaH Srayati SiKaraM nUtanastoyavAhaH U. 1. 33. | 4 To dwell in, inhabit. | 5 To honour, serve, worship. | 6 To use, employ. | 7 To devote oneself to, be attached to. | 8 To assist, help.	0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	1b	sich irgendwohin oder zu Jmd ( acc. ) begeben habend (auch das verbum finitum ve	RĀJATARAṄGIṆĪ 1,371; RĀJATARAṄGIṆĪ 4,592; KATHĀSARITSĀGARA 29,12					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	1c	sich begeben habend in einen Zustand, — eine Lage, — ein Verhältniss, gerathen i	KATHĀSARITSĀGARA 52,164; BHAGAVADGĪTĀ 9,12; KATHĀSARITSĀGARA 56,364					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	1d	der sich unter Jmdes Schutz gestellt hat: MBH. 2,205 / d〉 an einen Ort sich bege	MAHĀBHĀRATA 2,205 → vulg 2.5.71; MAHĀBHĀRATA 1,5937 → vulg 1.151.7; YĀJÑAVALKYA'S Gesetzbuch. Sanskrit und D 3,192					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	1e	sich überlassen —, sich hingegeben —, zu Etwas gegriffen —, Etwas erwählt habend	MANU'S Gesetzbuch in der Ausg. von LOISE 5,90; BHĀGAVATAPURĀṆA 4,2,30; Indische Sprüche. Sanskrit und Deutsch.  481					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	1f	Rücksicht nehmend auf: BHAG. 6,1 . R. 3,10,6 . [Page7-0355] / f〉 gelangt zu so v	BHAGAVADGĪTĀ 6,1; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 3,10,6; HARIVAṂŚA im 4ten Bande des MBH. Aus die 5198					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	1g	sich überlassen —, sich hingegeben —, zu Etwas gegriffen habend: MBH. 5,7148 . S	MAHĀBHĀRATA 5,7148 → vulg 5.179.25; Indische Sprüche. Sanskrit und Deutsch.  689; Indische Sprüche. Sanskrit und Deutsch.  155					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	2a	wohin oder zu wem man sich begeben hat, aditus: RAGH. 8,33 . Spr. (II) 546 . 356	RAGHUVAṂŚA 8,33; Indische Sprüche. Sanskrit und Deutsch.  546; Indische Sprüche. Sanskrit und Deutsch.  3567					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	2b	pass. zu / b〉 unterstützt: RĀJA-TAR. 5,286 / b〉 umgelegt, angelegt: BHĀG. P. 3,8	RĀJATARAṄGIṆĪ 5,286; BHĀGAVATAPURĀṆA 3,8,25; MAHĀBHĀRATA 4,540 → vulg 4.18.18					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	2c	wohin man sich begeben hat, bewohnt, besetzt, eingenommen: Spr. (II) 4929 . KATH	Indische Sprüche. Sanskrit und Deutsch.  4929; KATHĀSARITSĀGARA 18,59; KATHĀSARITSĀGARA 42,129					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	2d	dem man sich überlassen —, hingegeben hat, wozu man gegriffen hat, angenommen, e	Indische Sprüche. Sanskrit und Deutsch.  4012; KATHĀSARITSĀGARA 23,17; PRABODHACANDRODAYA 52,9					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	2e	berücksichtigt: H. 510 , Schol. — Vgl. fgg. , . — , partic. entlang ( acc. ) geg	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 510; ? [Cologne Addition] 2,91,7; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,84,7					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	3	med. act. sich irgendwohin oder zu Jmd begeben ( insbes. um Hilfe oder Schutz zu	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,97,21; Indische Sprüche. Sanskrit und Deutsch.  1947; KATHĀSARITSĀGARA 25,79					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	4	med. act. in einen Zustand —, in eine Lage —, in ein Verhältniss sich begeben, a	KATHĀSARITSĀGARA 18,243; KATHĀSARITSĀGARA 13,94; KATHĀSARITSĀGARA 19,75					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	5	sich begeben in so v. a. sich überlassen, sich hingeben, zu Etwas greifen, Etwas	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 7,17,18; KATHĀSARITSĀGARA 5,6; ? [Cologne Addition] 2,99,21					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	6	treffen, zu Theil werden: MAITRYUP. 6,18 . BHAG. 1,36 . PAT. _zu_ P. 8,3,72 . so	? [Cologne Addition] 6,18; BHAGAVADGĪTĀ 1,36; PATAÑJALI					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	7	berücksichtigen: so v. a. um dieses Leibes Willen Spr. (II) 153 . — partic / 7〉	Indische Sprüche. Sanskrit und Deutsch.  153; AMARAKOṢA nach der Ausgabe von COLEBROOK; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	8	PAÑCAT. V, 11 fehlerhaft für ; s. Spr. 2918 . — Vgl. fgg. — caus. aufrichten VS.	PAÑCATANTRA. Pantschatantrum sive quinqu 11; Indische Sprüche. Sanskrit und deutsch h 2918; VĀJASANEYISAM̃HITĀ. The VĀYASANEYI-SANHI 23,26					0.99	pilot; MW/Apte columns are inventory not sense-aligned
Sri	1	9	fehlerhaft für MBH. 12,10898 ( ed. Bomb. ). Verz. d. Oxf. H. 76,a,26 . für RĀJA-	MAHĀBHĀRATA 12,10898 → vulg 12.296.38; ed. Bomb; ? [Cologne Addition] 76,a,26					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1b	Löwe AK. 2,5,1 . 3,4,25,177 . H. 1283 . H. an. MED. HALĀY. 2,59 . 5,70 . MBH. 3,	AMARAKOṢA nach der Ausgabe von COLEBROOK 2,5,1; AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,25,177; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1283	mw:260786:1	1. hari mfn. (for 2. See col. 3) bearing, carrying (see dfti and nATa-h˚ ). | 2. ha/ri mfn. ( prob. fr. a lost √ hf , ‘to be yellow or green’; for 1. hari See above, col. 2) fawn-coloured, reddish brown, brown, tawny, pale yellow, yellow, fallow, bay ( esp. applied to horses), green, greenish, RV… | ha/ri m. yellow or reddish brown or green (the colour), L. | a horse, steed ( esp. of Indra ), RV. &amp;c. &amp;c. | a lion, MBh. ; Kāv. &amp;c. | the sign of the zodiac Leo, VarBṛS. | the sun, ib. | = hari-nakzatra , ib. | a monkey, MBh. ; R. &amp;c. | ( L. also, a ray of light; the moon; Phaseolus Mungo ; a jackal; a parrot; a peacock; the Koil or Indian cuckoo; a goose; a frog; a snake; fire) | the wind or N. of Vāyu (god of the wind), R. | of Indra , ib. &amp;c. | ( esp. ) N. of Viṣṇu-Kṛṣṇa (in this sense thought by some to be derived from √ hf , ‘to take away or remove evil or sin’), MBh. ; Kāv. &amp;c. | of Brahmā , TĀr. | of Yama , L. | of Śiva , L. | of Śukra , L. | of Su-parṇa , L. | of a son of Garuḍa , MBh. | of a Rākṣasa , ib. | of a Dānava , Hariv. | of a son of Akampana (or Anukampana ), MBh. | of a son of Tārakākṣa , ib. | of a son of Parājit , Hariv. | of a son of Parāvṛt , VP. | of a worshipper of Viṣṇu , BhP. | of various authors and scholars ( esp. of the poet Bhartṛ-hari as the author of the Vākya-padīya ; also with miSra , Bawwa , dIkzita &amp;c.), Cat. | of a mountain, VP. | of a world ( cf. hari-varza ), L. | of a metre, Col. | of a partic. high number, Buddh. | pl. men, people (= manuzyAH ), Naigh. ii, 3 | a partic. class of gods under Manu Tāmasa , Pur. | hari [ cf. Lat. holus , helvus , fulvus ; Lith. żálias , żélti ; Slav. zelenǔ ; Germ. gëlo , gelb ; Eng. yellow .] | 3. hari ind. (for 1. See p. 1289, col. 2 ; for 2. ib. , col. 3) an exclamation (‘alas!’), MW.	ap90:31276:1	hari a. [ hf-in ] | 1 Green, greenishyellow. | 2 Tawny, bay, reddishbrown ( kapila ); hariyugyaM haristasmE prajibAya puraMdaraH R. 12. 84 , 3. 43. | 3 Yellow. | — riH | 1 N. of Viṣṇu; hariryaTEkaH puruzottamaH smftaH R. 3. 49. | 2 N. of Indra; R. 3. 55 , 68 , 8. 79. | 3 N. of Śiva. | 4 N. of Brahman. | 5 N. of Yama. | 6 The sun. | 7 The moon. | 8 A man. | 9 A ray of light. | 10 Fire. | 11 Wind. | 12 A lion; Bv. 1. 50 , 51. | 13 A horse. | 14 A horse of Indra; satyamatItya harito harIMSca vartaMte vAjinaH Ś. 1 , 7. 7. | 15 An ape, a monkey; U. 3. 45 , R. 12. 57. | 16 The cuckoo. | 17 A frog. | 18 A parrot. | 19 A snake. | 20 The tawny green or yellow colour. | 21 A peacock. | 22 N. of the poet Bhartṛhari. | Comp. | — akzaH | 1 a lion. | 2 N. of Kubera. | 3 of Śiva. | — aSvaH | 1 Indra. | 2 Śiva. | — kAMta a. | 1 dear to Indra. | 2 beautiful as a lion | — kelIyaH the country called vaMga q. v. | — keSaH N. of Śiva. | — gaMDaM a kind of sandal. | — caMdanaH -naM | 1 a kind of yellow sandal (the wood or tree); R. 3. 59 , 6. 60 ; Ś. 7. 2 ; Ku. 5. 69. | 2 one of the five trees of paradise; paMcEte devataravo maMdAraH pArijAtakaH . saMtAnaH kalpavfkzaSca puMsi vA haricaMdanaM Ak. ( | — naM .) | 1 moonlight. | 2 saffron. | 3 the filament of a lotus. | — tAlaH (by some regarded as derived from harita ) a kind of yellow-coloured pigeon. | — (laM) yellow orpiment; H. D. 1 ; Śi. 4. 21 ; Ku. 7. 23 , 33. | — (lI) | 1 the Dūrvā grass. | 2 a streak or line in the sky. | 3 = haritAlikA (1). | — tAlakaH a kind of yellow-coloured pigeon. | — (kaM) | 1 yellow orpiment. | 2 a theatrical decoration. | — tAlikA | 1 the fourth day of the bright half of Bhādrapada. | 2 the Dūrvā plant. | — turaMgamaH N. of Indra. | — dAsaH a worshipper or votary of Viṣṇu. | — dinaM a particular day sacred to Viṣṇu. | — devaH the asterism Śravaṇa. | — dravaH | 1 a green fluid. | 2 powder of the blossoms of the Nāgakeśara tree. | — druH a tree. | — dvAraM N. of a celebrated Tīrtha or sacred bathing-place. ( pb ) | — netraM | 1 the eye of Viṣṇu. | 2 the white lotus. | — (traH) an owl. | — padaM the vernal equinox. | — parRaM a radish. | — priyaH | 1 the Kadamba tree. | 2 a conch-shell. | 3 a fool. | 4 a madman. | 5 Śiva. | — (yaM) the root Uśīra. | 2 a sort of sandal. | — priyA | 1 Lakṣmī. | 2 the sacred basil. | 3 the earth. | 4 the twelfth day of a lunar fortnight. | — BaktaH a worshipper of Viṣṇu. | — Buj m. a snake. | — maMTaH, -maMTakaH a chick-pea. | — locanaH | 1 a crab. | 2 an owl. | — vaMSaH N. of a celebrated work by Vyāsa supplementary to the Mahābhārata. | — varzaH N. of one of the nine divisions of Jambudvīpa. | — vallaBA | 1 Lakṣmī. | 2 the sacred basil. | — vAsaraH ‘Viṣṇu's day,’ the eleventh day of a lunar fortnight ( ekAdaSI ). | — vAhanaH | 1 Garuḍa. | 2 Indra. ˚diS f. the east. | — vIjaM yellow orpiment. | — SaraH an epithet of Śiva (Viṣṇu having served Śiva as the shaft which burnt down ‘the three cities’ or cities of the demon Tripura). | — saKaH a Gandharva . | — saMkIrtanaM repeating the name of Viṣṇu. | — sutaH, -sUnuH N. of Arjuna. | — hayaH | 1 Indra; R. 9. 18. | 2 the sun. | 3 N. of Skanda. | 4 of Gaṇeśa. | — haraH a particular form of deity consisting of Viṣṇu and Śiva conjoined. ˚AtmakaH | 1 N. of Garuḍa. | 2 of Śiva's bull. | — hetiH f. | 1 the rainbow; kaTamavalokayeyamaDunA harihetimatIH (kakuBaH) Māl. 9. 18. | 2 the discus of Viṣṇu. ˚hUtiH the ruddy goose; Śi. 9. 15.	0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1c	der Löwe im Thierkreise VARĀH. BṚH. 18,16 . 19,2 . 24,14	VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33] 18,16; VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33] 19,2; VARĀHAMIHIRA'S BṚHAJJĀTAKA. [Pagè-a+ 33] 24,14					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1d	Affe AK. 3,4,25,177 . H. 1292 . H. an. MED. HALĀY. 2,76 . 5,70 . MBH. 1,2624 . 2	AMARAKOṢA nach der Ausgabe von COLEBROOK 3,4,25,177; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1292; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1e	Schakal ( ) NĀNĀRTHADHVANIM. _in_ Verz. d. Oxf. H. 194,a, No. 445	NĀNĀRTHADHVANIMAÑJARĪ [Cologne Addition]; ? [Cologne Addition] 194,a, No. 445					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1f	Papagei AK. H. an. MED. Pfau, der indische Kuckuck und Gans ŚABDAR. _im_ ŚKDR	AMARAKOṢA nach der Ausgabe von COLEBROOK; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1g	Frosch AK. H. 1354 . H. an. MED. HALĀY. 3,40 . 5,70 . Schlange AK. H. an. MED	AMARAKOṢA nach der Ausgabe von COLEBROOK; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1354; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1h	Phaseolus Mungo ( ) H. 1172	HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1172					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1i	die Sonne AK. TRIK. 1,1,99 . H. an. MED. HĀR. 11 . HALĀY. 1,35 . 5,70 . VARĀH. B	AMARAKOṢA nach der Ausgabe von COLEBROOK; TRIKĀṆḌAŚEṢA 1,1,99; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1k	Lichtstrahl AK. TRIK. 1,1,86 . H. an. MED	AMARAKOṢA nach der Ausgabe von COLEBROOK; TRIKĀṆḌAŚEṢA 1,1,86; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1l	der Mond AK. H. an. MED. HĀR. 13 . HALĀY. 5,70	AMARAKOṢA nach der Ausgabe von COLEBROOK; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1m	Wind AK. H. an. MED. HALĀY. 1,76 . 5,70 . der Gott des Windes R. ed. Bomb. 1,32,	AMARAKOṢA nach der Ausgabe von COLEBROOK; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA; MEDINĪKOṢA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1n	ein Name α〉 Indra ʼs AK. TRIK. 1,1,57 . H. 171 . H. an. MED. HALĀY. 1,52 . 5,70	AMARAKOṢA nach der Ausgabe von COLEBROOK; TRIKĀṆḌAŚEṢA 1,1,57; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 171					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1o	ein best. Metrum: 4 Mal ⏑ ⏑ ⏑ ⏑ ⏑ ⏑, – – – –, ⏑ – ⏑ ⏑ – ⏑ – COLEBR. Misc. Ess. 2	COLEBROOKE'S Miscellaneous Essays. 2 Bän 2,162; COLEBROOKE'S Miscellaneous Essays. 2 Bän 8					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1p	elliptisch für das Nakṣatra Śravaṇa VARĀH. BṚH. S. 60,21 . 98,17 ; vgl	VARĀHAMIHIRA'S BṚHATSAM̃HITĀ. 60,21; VARĀHAMIHIRA'S BṚHATSAM̃HITĀ. 98,17					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1q	pl. = NAIGH. 2,2	das 2,2					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1r	eine best. hohe Zahl bei den Buddhisten VYUTP. 182 . Mél. asiat. 4,638, N	VYUTPATTI oder MAHĀVYUTPATTI (s. Mél. as 182; Mélanges asiatiques tirés du Bulletin hi 4,638, N					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	1s	N. pr. α〉 pl. einer Klasse von Göttern unter Manu Tāmasa VP. 262 . MĀRK. P. 74,5	VIṢṆUPURĀṆA. Es wird die WILSON'sche Ueb 262; MĀRKĀṆḌEYAPURĀṆA in der Bibliotheca indi 74,57; BHĀGAVATAPURĀṆA 8,1,28					0.99	pilot; MW/Apte columns are inventory not sense-aligned
hari	1	3	f. N. der Urmutter der Affen MBH. 1,2624 . 2628 . R. 3,20,26 . — Vgl	MAHĀBHĀRATA 1,2624 → vulg 1.66.60; MAHĀBHĀRATA 1, 2628 → vulg 1.66.64; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 3,20,26					0.99	pilot; MW/Apte columns are inventory not sense-aligned
maDyama		1a	medius (in der Bed. wie 2,a.): in der (die) Mitte des Soldatentrupps R. 6,9,18 .	RĀMĀYAṆA. Ohne eine nähere Angabe ist be 6,9,18; RĀMĀYAṆA. Ohne eine nähere Angabe ist be 6, 12,20; MĀRKĀṆḌEYAPURĀṆA in der Bibliotheca indi 60,7	mw:156485:1	maDyama/ mf( A )n. ( superl. of ma/Dya ) middle (used like Lat. medius , e.g. maDyame gulme , ‘in the midst of the troop’), MBh. ; R. | being or placed in the middle, middlemost, intermediate, central, RV. &amp;c. &amp;c. | middle-born (neither youngest nor oldest), Veṇīs. | of a middle kind or size or quality, middling, moderate, TS. &amp;c. &amp;c. | standing between two persons or parties, impartial, neutral, MBh. ; Kāv. &amp;c. | (in astron. ) mean ( cf. maDya ), Sūryas. | relating to the meridian, ib. | maDyama/ m. the middlemost prince (whose territory lies between that of a king seeking conquest and that of his foe), Mn. vii, 155 | the middle character in plays, IW. 473 | the midland country (= maDya-deSa ), L. | (in music) the 4th or 5th note, Saṃgīt. | the middlemost of the 3 scales, ib. | a partic. Rāga , ib. | (in gram. ) the 2nd person (= -puruza ), Pāṇ. | the governor of a province, L. | a kind of antelope, L. | N. of the 18th Kalpa ( s.v. ), Cat. | pl. a class of gods, ŚāṅkhŚr. | (with Buddhists ) N. of a partic. Buddh. sect, Sarvad. | maDyama/ m. n. the middle of the body, waist, MBh. ; R. &amp;c. | maDyama/ n. the middle, APrāt. | mediocrity, defectiveness, Śṛṅgār. | N. of the 12th (14th) Kāṇḍa of the ŚBr. | (in astron. ) the meridian ecliptic point, Sūryas.	ap90:22622:1	maDyama a. [ maDye mavaH ma ] | 1 Being or standing in the middle, middle, central; pituH padaM maDyamamutpataMtI V. 1. 19 ; maDyame pala Ki. 9. 2 ; so maDyamalokapAlaH, maDyamapadaM maDyamareKA q. v. | 2 Intermediate, intervening. | 3 Middling, of a middling condition or quality, mediocre; as in uttamADamamaDyama . | 4 Middling, moderate; tena maDyamaSaktinimitrARi sTApitAnyataH R. 17. 58. | 5 Middle-sized. | 6 Neither youngest nor oldest, the middleborn (as a brother); praRamati pitarO vAM maDyamaH pAMqavo'yaM Ve. 5. 26. | 7 Impartial, neutral. | 8 Mean (in astr. ). | 9 Belonging to the meridian. | — maH | 1 The fifth note in music. | 2 A particular musical mode. | 3 The mid-land country; see maDyadeSa . | 4 The second person (in grammar). | 5 A neutral sovereign; DarmottaraM maDyamamASrayaMte R. 13. 7. | 6 The governor of a province. | — mA | 1 The middle finger. | 2 A marriageable girl, one arrived at the age of puberty. | 3 The pericarp of a lotus. | 4 One of the classes of heroines (Nāyikās) in poetic compositions, a woman in the middle of her youth; cf. S. D. 100. | 5 ( pb ) A central blossom. | — maM | 1 The middle. | 2 The waist. | Comp. | — aMguliH the middle finger. | — AharaRaM (in alg. ) elimination of the middle term in an equation. | — kakzA the middle court yard. | — KaMqaM the middle term of an equation. | — jAta a. middle-born. | — padaM the middle member (of a compound). ˚lopin m. a subdivision of the Tatpuruṣa compound in which the middle word is omitted in composition; the usual instance given is SAkapArTivaH which is dissolved as SAkapriyaH … | — pAMqavaH an epithet of Arjuna. | — puruzaH the second person (in grammar). | — BftakaH a husbandman or cultivator (who works both for himself and his master or landlord). | — gatraH midnight. | — reKA the central meridian of the earth. | — lokaH the middle world, the earth. ˚pAlaH a king; R. 2. 16. | — vayas n. middle-aged. | — vayaska a. middle-aged. | — saMgrahaH intrigue of a middling character, such as sending presents of flowers &amp;c. to another's wife; it is thus defined by Vyāsa: - prezaRaM gaMDamAlyAnAM DUpaBUzaRavAsasAM . praloBataM cAnnapAnErmaDyamaH saMgra… | — sAhasaH the second of the three penalties or modes of punishment; see Ms. 8. 138. | — (saH -saM) an outrage or offence of the middle class. | — sTa a. being in the middle.	0.99	pilot; MW/Apte columns are inventory not sense-aligned
maDyama		1b	der mittlere so v. a. in der Mitte befindlich TRIK. 3,3,301 . H. 1460 . an. 3,47	TRIKĀṆḌAŚEṢA 3,3,301; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 1460; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 3,470					0.99	pilot; MW/Apte columns are inventory not sense-aligned
maDyama		1c	der mittlere so v. a. von mittlerer Beschaffenheit, Stärke, Grösse u. s. w. : CH	CHĀNDOGYOPANIṢAD 6,5,1; TAITTIRĪYASAM̃HITĀ. 7 Kāṇḍa 2,5,5,2; KĀTYĀYANA'S ŚRAUTASŪTRĀṆI. 26 Adhyāya. H 25,4,40					0.99	pilot; MW/Apte columns are inventory not sense-aligned
maDyama		1d	zwischen zwei feindlichen Parteien stehend, unbetheiligt, neutral: M. 7,155 . MB	MANU'S Gesetzbuch in der Ausg. von LOISE 7,155; MAHĀBHĀRATA 2,159 → vulg 2.5.25; RAGHUVAṂŚA 13,7					0.99	pilot; MW/Apte columns are inventory not sense-aligned
maDyama		2a	= AK. 2,1,7 . H. 951 . H. an. MED	AMARAKOṢA nach der Ausgabe von COLEBROOK 2,1,7; HEMACANDRA'S ABHIDHĀNACINTĀMAṆI 951; HEMACANDRA'S ANEKĀRTHASAM̃GRAHA					0.99	pilot; MW/Apte columns are inventory not sense-aligned
maDyama		2b	Bez. der mittleren d. i. 4ten (5ten AK. ) Note AK. 1,1,7,1 . TRIK. 3,3,301 . H.	AMARAKOṢA nach der Ausgabe von COLEBROOK; AMARAKOṢA nach der Ausgabe von COLEBROOK 1,1,7,1; TRIKĀṆḌAŚEṢA 3,3,301					0.99	pilot; MW/Apte columns are inventory not sense-aligned
maDyama		2c	oder vollständig die 2te Person NIR. 7,2 . P. 1,4,101 . 105	YĀSKA'S NIRUKTA sammt den NIGHAṆṬAVA'S h 7,2; PĀṆINI'S acht Bücher grammatischer Regel 1,4,101; PĀṆINI'S acht Bücher grammatischer Regel 1,4, 105					0.99	pilot; MW/Apte columns are inventory not sense-aligned
